[2019-08-05 05:17:57] local.ERROR: question edit. ["QuestionRepository/edit","SQLSTATE[42S22]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'QuestionText'. (SQL: select [QuestionID], [QuestionText], [QuestionTypeID], [Marks], [DifficultyLevelID], [TutorID] from [QuestionHint] where [QuestionHint].[QuestionID] in (263571))"] 
[2019-08-05 05:18:36] local.ERROR: question edit. ["QuestionRepository/edit","SQLSTATE[42S22]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'QuestionText'. (SQL: select [QuestionID], [QuestionText], [QuestionTypeID], [Marks], [DifficultyLevelID], [TutorID] from [QuestionHint] where [QuestionHint].[QuestionID] in (263571))"] 
[2019-08-05 05:18:50] local.ERROR: question edit. ["QuestionRepository/edit","SQLSTATE[42S22]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'QuestionText'. (SQL: select [QuestionID], [QuestionText], [QuestionTypeID], [Marks], [DifficultyLevelID], [TutorID] from [QuestionHint] where [QuestionHint].[QuestionID] in (263571))"] 
[2019-08-05 05:20:37] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:20:55] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:21:08] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:21:12] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:21:14] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:21:14] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:21:15] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:21:34] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:22:26] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:22:27] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:23:27] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:24:33] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:24:34] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:24:34] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:24:34] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
[2019-08-05 05:24:34] local.ERROR: question edit. ["QuestionRepository/edit","Undefined variable: select"] 
