[2019-08-06 08:50:39] local.ERROR: get multiple choice options & answer. ["QuestionRepository/getMultipleChoiceQuestionOptionAnswer","Call to undefined method Illuminate\\Database\\Eloquent\\Builder::all()"] 
[2019-08-06 08:51:09] local.ERROR: get multiple choice options & answer. ["QuestionRepository/getMultipleChoiceQuestionOptionAnswer","Call to undefined method Illuminate\\Database\\Eloquent\\Builder::all()"] 
[2019-08-06 08:53:10] local.ERROR: get multiple choice options & answer. ["QuestionRepository/getMultipleChoiceQuestionOptionAnswer","Call to undefined method Illuminate\\Database\\Eloquent\\Builder::all()"] 
[2019-08-06 08:54:57] local.ERROR: get multiple choice options & answer. ["QuestionRepository/getMultipleChoiceQuestionOptionAnswer","Call to undefined method Illuminate\\Database\\Eloquent\\Builder::all()"] 
[2019-08-06 08:55:21] local.ERROR: get multiple choice options & answer. ["QuestionRepository/getMultipleChoiceQuestionOptionAnswer","Call to undefined method Illuminate\\Database\\Eloquent\\Builder::all()"] 
[2019-08-06 08:55:41] local.ERROR: get multiple choice options & answer. ["QuestionRepository/getMultipleChoiceQuestionOptionAnswer","Call to undefined method Illuminate\\Database\\Eloquent\\Builder::all()"] 
[2019-08-06 08:56:14] local.ERROR: get multiple choice options & answer. ["QuestionRepository/getMultipleChoiceQuestionOptionAnswer","Call to undefined method Illuminate\\Database\\Eloquent\\Builder::all()"] 
[2019-08-06 11:21:06] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 11:22:11] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 11:26:44] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 12:06:40] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:31:35] local.ERROR: Create fill in blank options & answer. ["QuestionRepository/storeFillInBlankQuestionAnswer","Array to string conversion"] 
[2019-08-06 13:34:29] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:34:29] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateFillInBlankQuestionAnswer","Creating default object from empty value"] 
[2019-08-06 13:35:39] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:35:39] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateFillInBlankQuestionAnswer","Creating default object from empty value"] 
[2019-08-06 13:36:40] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:37:12] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:37:24] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:37:41] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:38:17] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:38:17] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateFillInBlankQuestionAnswer","Creating default object from empty value"] 
[2019-08-06 13:46:55] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
[2019-08-06 13:46:55] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateFillInBlankQuestionAnswer","Creating default object from empty value"] 
[2019-08-06 13:51:26] local.ERROR: Update fill in blank options & answer. ["QuestionRepository/updateRelationBSSCTQuestion","Undefined variable: question_id"] 
