[2019-09-16 13:06:25] local.ERROR: Create MCQ/MCQ2 options & answer. ["QuestionRepository/storeMultipleChoiceQuestionAnswer","Undefined index: OptionText"] 
[2019-09-16 13:08:05] local.ERROR: Create MCQ/MCQ2 options & answer. ["QuestionRepository/storeMultipleChoiceQuestionAnswer","Undefined index: OptionText"] 
[2019-09-16 13:38:17] local.ERROR: test store. ["TestPackagesRepository/assignChapterTopic","SQLSTATE[22018]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Conversion failed when converting the nvarchar value '20.30' to data type int. (SQL: insert into [TestChapterTopic] ([TestPackageTestID], [Weightage], [ChapterID]) values (35, 20.30, 445))"] 
[2019-09-16 13:39:00] local.ERROR: test store. ["TestPackagesRepository/assignChapterTopic","SQLSTATE[22018]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Conversion failed when converting the nvarchar value '30.5' to data type int. (SQL: insert into [TestChapterTopic] ([TestPackageTestID], [Weightage], [ChapterID]) values (35, 30.5, 446))"] 
[2019-09-16 13:47:56] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","SQLSTATE[42S22]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'MinValue'. (SQL: insert into [IntegerQuestionAnswer] ([IsActive], [INTText], [INTQuestionID], [MinValue], [MaxValue]) values (1, , 114306, 1.00, 2.80))"] 
[2019-09-16 13:49:56] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","Undefined index: INTText"] 
[2019-09-16 13:51:19] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","Undefined index: INTText"] 
[2019-09-16 13:54:25] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","Undefined index: OptionText"] 
[2019-09-16 14:00:15] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","Undefined index: OptionText"] 
[2019-09-16 14:01:16] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","Undefined index: OptionText"] 
[2019-09-16 14:04:15] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","SQLSTATE[42S22]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'MinValue'. (SQL: insert into [IntegerQuestionAnswer] ([IsActive], [INTText], [INTQuestionID], [MinValue], [MaxValue]) values (1, , 114311, 1.00, 2.80))"] 
[2019-09-16 14:05:39] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","SQLSTATE[42S22]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'MinValue'. (SQL: insert into [IntegerQuestionAnswer] ([IsActive], [INTText], [INTQuestionID], [MinValue], [MaxValue]) values (1, , 114309, 1, 2))"] 
[2019-09-16 14:08:04] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","SQLSTATE[42S22]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'MinValue'. (SQL: insert into [IntegerQuestionAnswer] ([IsActive], [INTText], [INTQuestionID], [MinValue], [MaxValue]) values (1, , 114309, 2, 4))"] 
[2019-09-16 14:10:57] local.ERROR: Create integer type answer. ["QuestionRepository/storeIntegerQuestionAnswer","SQLSTATE[42S22]: [Microsoft][ODBC Driver 17 for SQL Server][SQL Server]Invalid column name 'MinValue'. (SQL: insert into [IntegerQuestionAnswer] ([IsActive], [INTText], [INTQuestionID], [MinValue], [MaxValue]) values (1, , 114309, 2, 3))"] 
